@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute class {1,0}

@data
6.92779e-06, 7.70302e-06, 1.60358e-06, 0
6.84293e-06, 6.11443e-06, 3.38768e-06, 0
7.97956e-06, 3.54391e-06, 5.25841e-06, 0
7.42887e-06, 3.24945e-06, 1.36356e-06, 0
6.94776e-06, 2.52536e-06, 2.33606e-06, 0
7.12679e-06, 3.32173e-06, 2.999e-05, 0
7.49177e-06, 4.53842e-06, 6.5816e-06, 0
7.071e-06, 4.05558e-06, 3.71926e-06, 0
6.53344e-06, 7.11153e-06, 3.23777e-06, 0
3.6807e-05, 4.7985e-06, 1.1269e-06, 0
6.53935e-06, 3.58989e-06, 0.000143665, 0
7.071e-06, 7.13911e-06, 2.33606e-06, 0
1.17669e-05, 5.99186e-06, 0.000249504, 1
7.12326e-06, 8.07937e-06, 1.26801e-06, 0
8.19385e-06, 8.53141e-06, 8.96042e-06, 0
6.75914e-06, 3.52467e-06, 1.83394e-06, 0
7.97956e-06, 3.9005e-06, 1.16023e-06, 0
7.10722e-06, 1.2175e-05, 4.5759e-06, 1
5.77616e-06, 3.62629e-06, 2.95929e-06, 0
6.96578e-06, 4.32485e-06, 8.28573e-06, 0
6.82523e-06, 4.6989e-06, 3.27456e-06, 1
9.03305e-06, 3.58989e-06, 3.25593e-06, 0
7.0293e-06, 5.5766e-06, 4.47716e-06, 0
6.44051e-06, 5.15995e-06, 3.19637e-06, 0
1.57261e-05, 3.32173e-06, 2.999e-05, 1
1.77927e-05, 1.36301e-05, 1.32358e-05, 0
6.57261e-06, 2.65465e-06, 1.75627e-06, 0
7.41213e-06, 4.02694e-06, 7.72933e-07, 0
6.53344e-06, 4.73659e-06, 4.88116e-06, 0
6.6946e-06, 7.05815e-06, 7.62116e-06, 0
7.75215e-06, 4.74689e-06, 3.28083e-06, 0
7.10456e-06, 9.3983e-06, 1.90723e-06, 0
6.74148e-06, 3.51955e-06, 5.99553e-05, 0
7.19523e-06, 3.52467e-06, 2.11429e-06, 0
1.74908e-05, 1.39473e-05, 1.22719e-05, 0
8.3112e-05, 6.8587e-05, 0.000164493, 1
1.21654e-05, 7.12824e-05, 1.50418e-05, 0
7.65603e-06, 3.70507e-06, 3.63235e-06, 1
5.37332e-05, 2.65465e-06, 1.74022e-06, 0
6.63413e-06, 8.42113e-06, 2.92306e-06, 0
2.12686e-05, 1.73595e-05, 5.21118e-07, 1
7.52575e-06, 3.01443e-06, 4.5084e-06, 0
7.56161e-06, 7.53013e-06, 1.65781e-06, 0
8.51846e-06, 5.66555e-06, 2.51894e-06, 0
7.79972e-06, 6.14164e-06, 1.53403e-06, 0
7.98421e-06, 4.08937e-06, 3.6538e-06, 0
6.20019e-06, 3.4886e-06, 3.05256e-05, 0
8.12928e-06, 4.01251e-06, 1.0304e-06, 0
9.04693e-06, 4.62514e-06, 8.90732e-07, 0
6.46345e-06, 4.29044e-06, 4.76533e-06, 0
6.5434e-06, 3.594e-06, 4.29998e-06, 0
7.10456e-06, 9.3983e-06, 1.90723e-06, 0
6.85782e-06, 5.96863e-06, 4.32467e-06, 0
7.12679e-06, 3.54391e-06, 5.47224e-06, 0
1.83255e-05, 1.22696e-05, 5.25841e-06, 1
6.96531e-06, 4.10843e-06, 3.26788e-06, 0
7.55222e-06, 3.96174e-06, 4.43117e-06, 0
7.41181e-06, 5.71316e-06, 4.79796e-06, 0
8.12928e-06, 4.62514e-06, 1.31007e-06, 0
6.4014e-06, 4.06831e-06, 3.82403e-06, 0
7.54446e-06, 6.14961e-06, 5.99553e-05, 0
1.03669e-05, 7.75801e-06, 1.67624e-05, 0
1.81046e-05, 2.88082e-06, 2.8268e-06, 0
5.9468e-06, 4.11834e-06, 7.91359e-06, 0
6.46345e-06, 4.29044e-06, 4.76533e-06, 0
7.80206e-06, 2.30495e-05, 8.83628e-06, 1
7.28581e-06, 4.42821e-06, 4.82305e-06, 0
7.20054e-06, 4.53906e-06, 2.92306e-06, 0
9.72704e-06, 1.1428e-05, 1.44969e-06, 0
